Vessel,Task,Wharf,Time
V3,Waiting,Mos1,05:40-05:45
V5,Waiting,Mos1,05:40-05:45
V18,Waiting,Mos1,05:45-05:50
V1,4,Mos1,06:20-06:25
V1,4,Mos1,06:25-06:30
V1,4,Mos1,06:30-06:35
V2,4,Mos1,06:50-06:55
V2,4,Mos1,06:55-07:00
V2,4,Mos1,07:00-07:05
V3,4,Mos1,07:20-07:25
V3,4,Mos1,07:25-07:30
V3,4,Mos1,07:30-07:35
V4,4,Mos1,07:50-07:55
V4,4,Mos1,07:55-08:00
V4,4,Mos1,08:00-08:05
V5,4,Mos1,08:20-08:25
V5,4,Mos1,08:25-08:30
V5,4,Mos1,08:30-08:35
V6,4,Mos1,08:50-08:55
V6,4,Mos1,08:55-09:00
V6,4,Mos1,09:00-09:05
V7,4,Mos1,09:20-09:25
V7,4,Mos1,09:25-09:30
V7,4,Mos1,09:30-09:35
V8,4,Mos1,09:50-09:55
V8,4,Mos1,09:55-10:00
V8,4,Mos1,10:00-10:05
V9,4,Mos1,10:20-10:25
V9,4,Mos1,10:25-10:30
V9,4,Mos1,10:30-10:35
V2,Waiting,Mos1,11:25-11:30
V1,Waiting,Mos1,11:25-11:30
